noise,snr_db,metric,pct_improvement
CHEW,-5.0,CC,99.18850645581033
CHEW,-4.0,CC,83.88861186561127
CHEW,-3.0,CC,70.41294466303863
CHEW,-2.0,CC,58.682899812694494
CHEW,-1.0,CC,48.58234980829455
CHEW,0.0,CC,39.96979613021259
CHEW,1.0,CC,32.69308649811462
CHEW,2.0,CC,26.59709092127936
CHEW,3.0,CC,21.52977296168812
CHEW,4.0,CC,17.34745454782546
CHEW,5.0,CC,13.917768237068193
CHEW,-5.0,RMSE,87.95702593527724
CHEW,-4.0,RMSE,87.66416356676561
CHEW,-3.0,RMSE,87.25844833733852
CHEW,-2.0,RMSE,86.73611579306996
CHEW,-1.0,RMSE,86.09669228349289
CHEW,0.0,RMSE,85.33916920423508
CHEW,1.0,RMSE,84.46204775428029
CHEW,2.0,RMSE,83.46284919871262
CHEW,3.0,RMSE,82.3366793914371
CHEW,4.0,RMSE,81.07708231919091
CHEW,5.0,RMSE,79.67574132017315
CHEW,-5.0,RRMSE,87.95702593527724
CHEW,-4.0,RRMSE,87.66416356676561
CHEW,-3.0,RRMSE,87.25844833733852
CHEW,-2.0,RRMSE,86.73611579306996
CHEW,-1.0,RRMSE,86.09669228349289
CHEW,0.0,RRMSE,85.33916920423508
CHEW,1.0,RRMSE,84.46204775428029
CHEW,2.0,RRMSE,83.46284919871262
CHEW,3.0,RRMSE,82.3366793914371
CHEW,4.0,RRMSE,81.07708231919091
CHEW,5.0,RRMSE,79.67574347441699
CHEW,-5.0,MSE,98.17496523650186
CHEW,-4.0,MSE,98.14198405835825
CHEW,-3.0,MSE,98.07250562226515
CHEW,-2.0,MSE,97.9610173746646
CHEW,-1.0,MSE,97.80378585533518
CHEW,0.0,MSE,97.59615063667299
CHEW,1.0,MSE,97.33326246950182
CHEW,2.0,MSE,97.0088969123372
CHEW,3.0,MSE,96.61408219893926
CHEW,4.0,MSE,96.13771203173168
CHEW,5.0,MSE,95.56596080537618
ELPP,-5.0,CC,99.92022481103275
ELPP,-4.0,CC,84.29313930591711
ELPP,-3.0,CC,70.65574144339952
ELPP,-2.0,CC,58.84117149909628
ELPP,-1.0,CC,48.69306918985393
ELPP,0.0,CC,40.05616388575005
ELPP,1.0,CC,32.76983274485869
ELPP,2.0,CC,26.674699897062347
ELPP,3.0,CC,21.61446205960439
ELPP,4.0,CC,17.441138209228814
ELPP,5.0,CC,14.019832724056204
ELPP,-5.0,RMSE,89.81142283963258
ELPP,-4.0,RMSE,89.4302456553379
ELPP,-3.0,RMSE,88.95792775121814
ELPP,-2.0,RMSE,88.37035984210036
ELPP,-1.0,RMSE,87.65674380860362
ELPP,0.0,RMSE,86.82886064052582
ELPP,1.0,RMSE,85.90372152631339
ELPP,2.0,RMSE,84.91048645886448
ELPP,3.0,RMSE,83.86125157442395
ELPP,4.0,RMSE,82.75043903526549
ELPP,5.0,RMSE,81.5652611367616
ELPP,-5.0,RRMSE,89.81142283963258
ELPP,-4.0,RRMSE,89.4302456553379
ELPP,-3.0,RRMSE,88.95792775121814
ELPP,-2.0,RRMSE,88.37035984210036
ELPP,-1.0,RRMSE,87.65674380860362
ELPP,0.0,RRMSE,86.82886064052582
ELPP,1.0,RRMSE,85.90372152631339
ELPP,2.0,RRMSE,84.91048645886448
ELPP,3.0,RRMSE,83.86125157442395
ELPP,4.0,RRMSE,82.75043903526549
ELPP,5.0,RRMSE,81.5652611367616
ELPP,-5.0,MSE,98.71409050967105
ELPP,-4.0,MSE,98.65598909332876
ELPP,-3.0,MSE,98.57771875777074
ELPP,-2.0,MSE,98.4647389912035
ELPP,-1.0,MSE,98.30726912816392
ELPP,0.0,MSE,98.10313042253256
ELPP,1.0,MSE,97.85240592791193
ELPP,2.0,MSE,97.55921034080004
ELPP,3.0,MSE,97.2242494508848
ELPP,4.0,MSE,96.84206391035899
ELPP,5.0,MSE,96.40343398290166
EMG,-5.0,CC,97.12805588603155
EMG,-4.0,CC,82.37996375160877
EMG,-3.0,CC,69.28222384469531
EMG,-2.0,CC,57.814055033857315
EMG,-1.0,CC,47.89658674168756
EMG,0.0,CC,39.41514718354026
EMG,1.0,CC,32.23326660895694
EMG,2.0,CC,26.206093208796627
EMG,3.0,CC,21.189157011513142
EMG,4.0,CC,17.044221008203298
EMG,5.0,CC,13.642922565198528
EMG,-5.0,RMSE,86.63883822061514
EMG,-4.0,RMSE,86.3588843379881
EMG,-3.0,RMSE,85.93332567601051
EMG,-2.0,RMSE,85.35549766339741
EMG,-1.0,RMSE,84.62133721709777
EMG,0.0,RMSE,83.72915089130402
EMG,1.0,RMSE,82.6750473777026
EMG,2.0,RMSE,81.45438095120178
EMG,3.0,RMSE,80.06158986508787
EMG,4.0,RMSE,78.49047002897963
EMG,5.0,RMSE,76.73482328724727
EMG,-5.0,RRMSE,86.63883822061514
EMG,-4.0,RRMSE,86.3588843379881
EMG,-3.0,RRMSE,85.93332567601051
EMG,-2.0,RRMSE,85.35549766339741
EMG,-1.0,RRMSE,84.62133721709777
EMG,0.0,RRMSE,83.72915089130402
EMG,1.0,RRMSE,82.6750473777026
EMG,2.0,RRMSE,81.45438095120178
EMG,3.0,RRMSE,80.06158776024301
EMG,4.0,RRMSE,78.49047002897963
EMG,5.0,RRMSE,76.73482821917212
EMG,-5.0,MSE,97.72931789091506
EMG,-4.0,MSE,97.70058162118855
EMG,-3.0,MSE,97.62065453343253
EMG,-2.0,MSE,97.48091051457655
EMG,-1.0,MSE,97.27381905268548
EMG,0.0,MSE,96.99291680008173
EMG,1.0,MSE,96.62948894936936
EMG,2.0,MSE,96.17233443431465
EMG,3.0,MSE,95.60739763040542
EMG,4.0,MSE,94.91783659216647
EMG,5.0,MSE,94.08412051560096
EOG,-5.0,CC,105.40028445852738
EOG,-4.0,CC,88.43028283277542
EOG,-3.0,CC,73.78822447718042
EOG,-2.0,CC,61.232887634823854
EOG,-1.0,CC,50.53891156188336
EOG,0.0,CC,41.494604441707835
EOG,1.0,CC,33.90074159297176
EOG,2.0,CC,27.570379980229898
EOG,3.0,CC,22.329566643813514
EOG,4.0,CC,18.018534130552382
EOG,5.0,CC,14.492743519227083
EOG,-5.0,RMSE,94.83472995094954
EOG,-4.0,RMSE,94.52273513963509
EOG,-3.0,RMSE,94.1891216571012
EOG,-2.0,RMSE,93.8325270211101
EOG,-1.0,RMSE,93.45094515358514
EOG,0.0,RMSE,93.04010421037674
EOG,1.0,RMSE,92.59433524721175
EOG,2.0,RMSE,92.10678993025762
EOG,3.0,RMSE,91.56937408065647
EOG,4.0,RMSE,90.97340043543612
EOG,5.0,RMSE,90.30778033140209
EOG,-5.0,RRMSE,94.83472995094954
EOG,-4.0,RRMSE,94.52273513963509
EOG,-3.0,RRMSE,94.1891216571012
EOG,-2.0,RRMSE,93.8325270211101
EOG,-1.0,RRMSE,93.45094515358514
EOG,0.0,RRMSE,93.04010421037674
EOG,1.0,RRMSE,92.59433524721175
EOG,2.0,RRMSE,92.10678993025762
EOG,3.0,RRMSE,91.56937408065647
EOG,4.0,RRMSE,90.97340043543612
