ch,CC,MSE,RMSE,RRMSE
0,0.46051305532455444,1.3019509315490723,1.1410306692123413,1.9315232038497925
1,0.45430776476860046,1.301531195640564,1.1408467292785645,1.8966548442840576
2,0.8267081379890442,0.3796265125274658,0.6161383986473083,0.6881511807441711
3,0.9049342274665833,0.20811296999454498,0.4561940133571625,0.4919820725917816
4,0.9598952531814575,0.08199839293956757,0.28635361790657043,0.29266661405563354
5,0.9565156102180481,0.0888032615184784,0.2979987561702728,0.30466175079345703
6,0.9911103248596191,0.017847390845417976,0.13359412550926208,0.13410335779190063
7,0.9892917275428772,0.021480141207575798,0.14656105637550354,0.14709477126598358
8,0.993718683719635,0.012592269107699394,0.11221528053283691,0.11245839297771454
9,0.9954788684844971,0.009054861031472683,0.09515703469514847,0.09528243541717529
10,0.7065037488937378,0.6675873398780823,0.8170601725578308,1.0003583431243896
11,0.7324764132499695,0.6132022142410278,0.783072292804718,0.9511929750442505
12,0.9029413461685181,0.20055823028087616,0.44783729314804077,0.46799010038375854
13,0.8955693244934082,0.2185579091310501,0.46750178933143616,0.493843138217926
14,0.9871028065681458,0.025879371911287308,0.16087067127227783,0.16159610450267792
15,0.985950767993927,0.02818034403026104,0.16787001490592957,0.16861017048358917
16,0.8097187876701355,0.41747257113456726,0.6461211442947388,0.7274209260940552
17,0.9560520052909851,0.09022992849349976,0.30038297176361084,0.3079097867012024
18,0.9926248788833618,0.014803001657128334,0.12166758626699448,0.12204380333423615
