epoch,train_mse,train_rmse,train_rrmse,train_cc,test_mse,test_rmse,test_rrmse,test_cc,ot_lambda_alpha
1,0.137124,0.370302,0.370302,0.9263,0.14458,0.380237,0.380237,0.9221,0.005
2,0.102892,0.320768,0.320768,0.945,0.112263,0.335056,0.335056,0.9398,0.01
3,0.087239,0.295363,0.295363,0.9535,0.097265,0.311873,0.311873,0.948,0.015
4,0.073677,0.271436,0.271436,0.9611,0.084072,0.289951,0.289951,0.9554,0.02
5,0.063989,0.25296,0.25296,0.9655,0.074905,0.273688,0.273688,0.9596,0.025
6,0.058251,0.241352,0.241352,0.9686,0.069328,0.263302,0.263302,0.9625,0.03
7,0.052617,0.229385,0.229385,0.9715,0.064167,0.253312,0.253312,0.9653,0.035
8,0.049226,0.221869,0.221869,0.973,0.060771,0.246518,0.246518,0.9668,0.04
9,0.048916,0.22117,0.22117,0.9735,0.061054,0.247091,0.247091,0.967,0.045
10,0.045232,0.212678,0.212678,0.9752,0.057231,0.239229,0.239229,0.9688,0.05
11,0.042544,0.206261,0.206261,0.9765,0.054422,0.233286,0.233286,0.9702,0.055
12,0.041348,0.203341,0.203341,0.9774,0.053032,0.230288,0.230288,0.9712,0.06
13,0.039153,0.197872,0.197872,0.9783,0.051022,0.22588,0.22588,0.972,0.065
14,0.038172,0.195378,0.195378,0.9789,0.050361,0.224413,0.224413,0.9724,0.07
15,0.035667,0.188857,0.188857,0.9801,0.047976,0.219034,0.219034,0.9735,0.075
16,0.035348,0.18801,0.18801,0.9802,0.047683,0.218364,0.218364,0.9737,0.08
17,0.033696,0.183565,0.183565,0.981,0.045802,0.214014,0.214014,0.9746,0.085
18,0.033277,0.182421,0.182421,0.9813,0.045502,0.213311,0.213311,0.9748,0.09
19,0.031982,0.178835,0.178835,0.9819,0.044288,0.210446,0.210446,0.9754,0.095
20,0.030732,0.175307,0.175307,0.9826,0.043155,0.207738,0.207738,0.9761,0.1
21,0.030417,0.174404,0.174404,0.9828,0.042745,0.206749,0.206749,0.9763,0.1
22,0.030249,0.173921,0.173921,0.9828,0.042427,0.205979,0.205979,0.9764,0.1
23,0.029098,0.170581,0.170581,0.9836,0.041388,0.203439,0.203439,0.9771,0.1
24,0.030491,0.174617,0.174617,0.9829,0.042762,0.206791,0.206791,0.9765,0.1
25,0.028272,0.168144,0.168144,0.9842,0.040503,0.201254,0.201254,0.9778,0.1
26,0.028501,0.168821,0.168821,0.9837,0.040481,0.201198,0.201198,0.9775,0.1
27,0.026725,0.163479,0.163479,0.9846,0.039007,0.197501,0.197501,0.9782,0.1
28,0.026415,0.162528,0.162528,0.9848,0.038632,0.196551,0.196551,0.9784,0.1
29,0.026471,0.162699,0.162699,0.9849,0.038695,0.196712,0.196712,0.9785,0.1
30,0.025906,0.160953,0.160953,0.9851,0.038025,0.195001,0.195001,0.9787,0.1
31,0.025785,0.160578,0.160578,0.9851,0.037882,0.194633,0.194633,0.9788,0.1
32,0.024691,0.157135,0.157135,0.9857,0.036761,0.19173,0.19173,0.9794,0.1
33,0.024479,0.156457,0.156457,0.9858,0.036572,0.191239,0.191239,0.9794,0.1
34,0.024393,0.156183,0.156183,0.9858,0.036302,0.190531,0.190531,0.9795,0.1
35,0.024069,0.155141,0.155141,0.986,0.036073,0.189929,0.189929,0.9797,0.1
36,0.023324,0.152722,0.152722,0.9863,0.035414,0.188186,0.188186,0.98,0.1
37,0.023009,0.151688,0.151688,0.9865,0.035077,0.187289,0.187289,0.9802,0.1
38,0.023269,0.152541,0.152541,0.9865,0.035553,0.188554,0.188554,0.9801,0.1
39,0.022427,0.149756,0.149756,0.9868,0.034476,0.185678,0.185678,0.9805,0.1
40,0.021932,0.148095,0.148095,0.9871,0.034037,0.184491,0.184491,0.9807,0.1
41,0.022121,0.148732,0.148732,0.987,0.034047,0.184519,0.184519,0.9808,0.1
42,0.022105,0.148678,0.148678,0.987,0.034011,0.18442,0.18442,0.9808,0.1
43,0.02142,0.146356,0.146356,0.9873,0.033405,0.182772,0.182772,0.9811,0.1
